"Dataset","Tissue","Species","Method","LLMBackend","LLMModelID","RefinementSelector","RefinementBudgetK","Replicate","FirstPassResponseHash","RefinementResponseHash","RefinementPromptTokens","RefinementCompletionTokens","RefinementTokens","RefinementRuntimeSec","RefinementCostUSD","SecondPassCalls","CostPerCorrectedError","NClusters","NFlagged","NRefined","FlaggedRate","NInitiallyIncorrect","SelectionPrecision","SelectionRecall","SelectionSpecificity","SelectionNPV","SelectionMCC","ConflictPrecision","ConflictRecall","NLabelChanged","WrongToCorrect","CorrectToWrong","NetCorrectionRate","CorrectionEfficiency","HarmRate","NetCorrectionPerChangedLabel","RefinementFamily","FullWrongToCorrect","FullNRefined","RecoveryFraction","RelativeRefinementBudget","RefinementPricingDate","RefinementPricingSource","RefinementInputCostPer1MTokens","RefinementOutputCostPer1MTokens"
"BaronPancreas","Pancreas","Human","OpenAICell-FullRefined","openai","gpt-5","full",16,1,"3a923c83f85f58ef99c1a748ff4664bd","dc156b828df19d706b1906c7b9242bfa",3169,1087,4256,12.6476678848267,0.01483125,1,NA,16,16,16,1,3,0.1875,1,0,NA,NA,0.1875,1,3,0,0,0,0,0,0,"OpenAICell",0,16,NA,1,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"MuraroPancreas","Pancreas","Human","OpenAICell-RandomK","openai","gpt-5","random-k",0,1,"200ea6a22f3095ee55c04aa0abb00b83",NA,0,0,0,0,0,0,NA,11,0,0,0,1,NA,0,1,0.909090909090909,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,11,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"MuraroPancreas","Pancreas","Human","OpenAICell-ConfidenceK","openai","gpt-5","confidence-k",0,1,"200ea6a22f3095ee55c04aa0abb00b83",NA,0,0,0,0,0,0,NA,11,0,0,0,1,NA,0,1,0.909090909090909,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,11,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"MuraroPancreas","Pancreas","Human","OpenAICell-NoOntologyK","openai","gpt-5","evidence-no-ontology-k",0,1,"200ea6a22f3095ee55c04aa0abb00b83",NA,0,0,0,0,0,0,NA,11,0,0,0,1,NA,0,1,0.909090909090909,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,11,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"MuraroPancreas","Pancreas","Human","OpenAICell-SelfRefined","openai","gpt-5","evidence-k",0,1,"200ea6a22f3095ee55c04aa0abb00b83",NA,0,0,0,0,0,0,NA,11,0,0,0,1,NA,0,1,0.909090909090909,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,11,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"MuraroPancreas","Pancreas","Human","OpenAICell-FullRefined","openai","gpt-5","full",11,1,"200ea6a22f3095ee55c04aa0abb00b83","c7abb8e16d670a8bbb85460814a181dc",2318,881,3199,9.54870796203613,0.0117075,1,NA,11,11,11,1,1,0.0909090909090909,1,0,NA,NA,0.0909090909090909,1,2,0,1,-0.0909090909090909,0,0.0909090909090909,-0.5,"OpenAICell",0,11,NA,1,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"TasicBrain","Brain","Mouse","OpenAICell-RandomK","openai","gpt-5","random-k",0,1,"d8a468bd120c7d324726605f6adeca36",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"OpenAICell",0,15,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"TasicBrain","Brain","Mouse","OpenAICell-ConfidenceK","openai","gpt-5","confidence-k",0,1,"d8a468bd120c7d324726605f6adeca36",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"OpenAICell",0,15,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"TasicBrain","Brain","Mouse","OpenAICell-NoOntologyK","openai","gpt-5","evidence-no-ontology-k",0,1,"d8a468bd120c7d324726605f6adeca36",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"OpenAICell",0,15,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"TasicBrain","Brain","Mouse","OpenAICell-SelfRefined","openai","gpt-5","evidence-k",0,1,"d8a468bd120c7d324726605f6adeca36",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"OpenAICell",0,15,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
