"Dataset","Tissue","Species","Method","Replicate","RefinementSelector","RefinementBudgetK","ConfidenceColumn","Brier","BinaryCorrectnessNLL","NLL","ECE","AUROC","AURC","MeanConfidence","Accuracy","CoverageAt0.7","CoverageAt0.8","CoverageAt0.9","AccuracyAt0.7","AccuracyAt0.8","AccuracyAt0.9"
"TasicBrain","Brain","Mouse","DeepSeekCell-FullRefined",1,"full",15,"Confidence",0.0309274,0.186131708638145,0.186131708638145,0.168333333333333,NA,0,0.831666666666667,1,1,0.666666666666667,0.133333333333333,1,1,1
"ZeiselBrain","Brain","Mouse","DeepSeek-Plain",1,"none",0,"LLMConfidence",0.2454375,0.80709366968636,0.80709366968636,0.2375,0.718181818181818,0.20283904463592,0.925,0.6875,1,0.9375,0.875,0.6875,0.733333333333333,0.785714285714286
"ZeiselBrain","Brain","Mouse","DeepSeekCell-Evidence",1,"none",0,"LLMConfidence",0.2454375,0.80709366968636,0.80709366968636,0.2375,0.718181818181818,0.20283904463592,0.925,0.6875,1,0.9375,0.875,0.6875,0.733333333333333,0.785714285714286
"ZeiselBrain","Brain","Mouse","DeepSeekCell-Calibrated",1,"none",0,"Confidence",0.194875375,0.563536922417144,0.563536922417144,0.173625,0.8,0.1063631247225,0.8315,0.6875,0.9375,0.6875,0.25,0.733333333333333,0.727272727272727,1
"ZeiselBrain","Brain","Mouse","DeepSeekCell-SelfRefined",1,"evidence-k",1,"Confidence",0.1637213125,0.49333579120025,0.49333579120025,0.2000625,0.770833333333333,0.0813670704295704,0.8405625,0.75,0.9375,0.75,0.25,0.8,0.75,1
"ZeiselBrain","Brain","Mouse","DeepSeekCell-RandomK",1,"random-k",1,"Confidence",0.194875375,0.563536922417144,0.563536922417144,0.173625,0.8,0.1063631247225,0.8315,0.6875,0.9375,0.6875,0.25,0.733333333333333,0.727272727272727,1
"ZeiselBrain","Brain","Mouse","DeepSeekCell-ConfidenceK",1,"confidence-k",1,"Confidence",0.2105156875,0.597636499061151,0.597636499061151,0.1861875,0.8,0.1063631247225,0.8440625,0.6875,1,0.6875,0.25,0.6875,0.727272727272727,1
"ZeiselBrain","Brain","Mouse","DeepSeekCell-FullRefined",1,"full",16,"Confidence",0.2007216875,0.57545723289154,0.57545723289154,0.1788125,0.8,0.1063631247225,0.8366875,0.6875,0.9375,0.6875,0.25,0.733333333333333,0.727272727272727,1
"ZilionisLung","Lung","Human","DeepSeek-Plain",1,"none",0,"LLMConfidence",0.25,0.693147180559945,0.693147180559945,0.5,NA,0.970588235294118,0.5,0,0,0,0,NA,NA,NA
"ZilionisLung","Lung","Human","DeepSeekCell-Evidence",1,"none",0,"LLMConfidence",0.25,0.693147180559945,0.693147180559945,0.5,NA,0.970588235294118,0.5,0,0,0,0,NA,NA,NA
"ZilionisLung","Lung","Human","DeepSeekCell-Calibrated",1,"none",0,"Confidence",0.192354647058824,0.57562802909128,0.57562802909128,0.433352941176471,NA,0.970588235294118,0.433352941176471,0,0,0,0,NA,NA,NA
"ZilionisLung","Lung","Human","DeepSeekCell-SelfRefined",1,"evidence-k",6,"Confidence",0.186651470588235,0.545605593493381,0.545605593493381,0.351117647058824,1,0.345056639823076,0.614058823529412,0.294117647058824,0.352941176470588,0.352941176470588,0.176470588235294,0.833333333333333,0.833333333333333,1
"ZilionisLung","Lung","Human","DeepSeekCell-RandomK",1,"random-k",6,"Confidence",0.225551882352941,0.640972704103476,0.640972704103476,0.434352941176471,0.976190476190476,0.535465356442865,0.564941176470588,0.176470588235294,0.352941176470588,0.176470588235294,0.117647058823529,0.5,0.666666666666667,1
"ZilionisLung","Lung","Human","DeepSeekCell-ConfidenceK",1,"confidence-k",6,"Confidence",0.195387882352941,0.579766870571352,0.579766870571352,0.334941176470588,1,0.423104135387872,0.563294117647059,0.235294117647059,0.352941176470588,0.294117647058824,0.0588235294117647,0.666666666666667,0.8,1
"ZilionisLung","Lung","Human","DeepSeekCell-FullRefined",1,"full",17,"Confidence",0.255395176470588,0.714654777341402,0.714654777341402,0.25,0.621212121212121,0.212125446641018,0.840705882352941,0.647058823529412,0.941176470588235,0.823529411764706,0.176470588235294,0.625,0.642857142857143,1
"PBMC","PBMC","Human","DeepSeek-Plain",2,"none",0,"LLMConfidence",0.0025,0.0512932943875506,0.0512932943875506,0.05,NA,0,0.95,1,1,1,1,1,1,1
"PBMC","PBMC","Human","DeepSeekCell-Evidence",2,"none",0,"LLMConfidence",0.0025,0.0512932943875506,0.0512932943875506,0.05,NA,0,0.95,1,1,1,1,1,1,1
"PBMC","PBMC","Human","DeepSeekCell-Calibrated",2,"none",0,"Confidence",0.022003375,0.154799325178064,0.154799325178064,0.142375,NA,0,0.857625,1,1,0.875,0,1,1,NA
"PBMC","PBMC","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,"Confidence",0.022003375,0.154799325178064,0.154799325178064,0.142375,NA,0,0.857625,1,1,0.875,0,1,1,NA
