"Dataset","Tissue","Species","Method","Replicate","RefinementSelector","RefinementBudgetK","Bin","BinLower","BinUpper","N","Coverage","MeanConfidence","Accuracy","AbsCalibrationError"
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK",2,"random-k",0,1,0,0.1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK",2,"random-k",0,2,0.1,0.2,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK",2,"random-k",0,3,0.2,0.3,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK",2,"random-k",0,4,0.3,0.4,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK",2,"random-k",0,5,0.4,0.5,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK",2,"random-k",0,6,0.5,0.6,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK",2,"random-k",0,7,0.6,0.7,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK",2,"random-k",0,8,0.7,0.8,3,0.1875,0.758333333333333,0.666666666666667,0.0916666666666667
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK",2,"random-k",0,9,0.8,0.9,12,0.75,0.819916666666667,0.75,0.0699166666666666
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK",2,"random-k",0,10,0.9,1,1,0.0625,0.951,1,0.049
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK",2,"confidence-k",0,1,0,0.1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK",2,"confidence-k",0,2,0.1,0.2,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK",2,"confidence-k",0,3,0.2,0.3,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK",2,"confidence-k",0,4,0.3,0.4,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK",2,"confidence-k",0,5,0.4,0.5,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK",2,"confidence-k",0,6,0.5,0.6,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK",2,"confidence-k",0,7,0.6,0.7,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK",2,"confidence-k",0,8,0.7,0.8,3,0.1875,0.758333333333333,0.666666666666667,0.0916666666666667
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK",2,"confidence-k",0,9,0.8,0.9,12,0.75,0.819916666666667,0.75,0.0699166666666666
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK",2,"confidence-k",0,10,0.9,1,1,0.0625,0.951,1,0.049
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined",2,"full",16,1,0,0.1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined",2,"full",16,2,0.1,0.2,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined",2,"full",16,3,0.2,0.3,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined",2,"full",16,4,0.3,0.4,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined",2,"full",16,5,0.4,0.5,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined",2,"full",16,6,0.5,0.6,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined",2,"full",16,7,0.6,0.7,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined",2,"full",16,8,0.7,0.8,3,0.1875,0.758333333333333,0.666666666666667,0.0916666666666667
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined",2,"full",16,9,0.8,0.9,12,0.75,0.819916666666667,0.75,0.0699166666666666
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined",2,"full",16,10,0.9,1,1,0.0625,0.951,1,0.049
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,1,0,0.1,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,2,0.1,0.2,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,3,0.2,0.3,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,4,0.3,0.4,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,5,0.4,0.5,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,6,0.5,0.6,1,0.0909090909090909,0.6,0,0.6
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,7,0.6,0.7,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,8,0.7,0.8,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,9,0.8,0.9,2,0.181818181818182,0.875,1,0.125
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,10,0.9,1,8,0.727272727272727,0.95,0.875,0.075
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,1,0,0.1,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,2,0.1,0.2,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,3,0.2,0.3,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,4,0.3,0.4,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,5,0.4,0.5,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,6,0.5,0.6,1,0.0909090909090909,0.6,0,0.6
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,7,0.6,0.7,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,8,0.7,0.8,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,9,0.8,0.9,2,0.181818181818182,0.875,1,0.125
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,10,0.9,1,8,0.727272727272727,0.95,0.875,0.075
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,1,0,0.1,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,2,0.1,0.2,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,3,0.2,0.3,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,4,0.3,0.4,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,5,0.4,0.5,1,0.0909090909090909,0.49,0,0.49
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,6,0.5,0.6,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,7,0.6,0.7,1,0.0909090909090909,0.69,1,0.31
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,8,0.7,0.8,2,0.181818181818182,0.7535,1,0.2465
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,9,0.8,0.9,7,0.636363636363636,0.834857142857143,0.857142857142857,0.0222857142857142
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,10,0.9,1,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,1,0,0.1,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,2,0.1,0.2,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,3,0.2,0.3,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,4,0.3,0.4,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,5,0.4,0.5,1,0.0909090909090909,0.49,0,0.49
"MuraroPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,6,0.5,0.6,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,7,0.6,0.7,1,0.0909090909090909,0.69,1,0.31
"MuraroPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,8,0.7,0.8,2,0.181818181818182,0.7535,1,0.2465
"MuraroPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,9,0.8,0.9,7,0.636363636363636,0.834857142857143,0.857142857142857,0.0222857142857142
"MuraroPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,10,0.9,1,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-RandomK",2,"random-k",0,1,0,0.1,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-RandomK",2,"random-k",0,2,0.1,0.2,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-RandomK",2,"random-k",0,3,0.2,0.3,0,0,NA,NA,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-RandomK",2,"random-k",0,4,0.3,0.4,0,0,NA,NA,NA
