"Dataset","Tissue","Species","Method","RefinementSelector","RefinementBudgetK","Replicate","FirstPassResponseHash","RefinementResponseHash","RefinementPromptTokens","RefinementCompletionTokens","RefinementTokens","RefinementRuntimeSec","RefinementCostUSD","SecondPassCalls","CostPerCorrectedError","NClusters","NFlagged","NRefined","FlaggedRate","NInitiallyIncorrect","SelectionPrecision","SelectionRecall","SelectionSpecificity","SelectionNPV","SelectionMCC","ConflictPrecision","ConflictRecall","NLabelChanged","WrongToCorrect","CorrectToWrong","NetCorrectionRate","NetCorrectionPerChangedLabel","FullWrongToCorrect","FullNRefined","CorrectionEfficiency","HarmRate","RecoveryFraction","RelativeRefinementBudget"
"MuraroPancreas","Pancreas","Human","DeepSeekCell-SelfRefined","evidence-k",0,1,"7662d1b7f187fa2bf644e49784a26248",NA,0,0,0,0,0,0,NA,11,0,0,0,2,NA,0,1,0.818181818181818,NA,NA,0,0,0,0,NA,NA,0,11,NA,NA,NA,0
"MuraroPancreas","Pancreas","Human","DeepSeekCell-FullRefined","full",11,1,"7662d1b7f187fa2bf644e49784a26248","24432cfbc52602873a7f14f56c9cd3dc",0,0,3658,7.10097408294678,0.00067802,1,NA,11,11,11,1,2,0.181818181818182,1,0,NA,NA,0.181818181818182,1,0,0,0,0,NA,0,11,0,0,NA,1
"TasicBrain","Brain","Mouse","DeepSeekCell-RandomK","random-k",0,1,"6f1339224ac38869dafab6c3d56c683d",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,0,15,NA,NA,NA,0
"TasicBrain","Brain","Mouse","DeepSeekCell-ConfidenceK","confidence-k",0,1,"6f1339224ac38869dafab6c3d56c683d",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,0,15,NA,NA,NA,0
"TasicBrain","Brain","Mouse","DeepSeekCell-SelfRefined","evidence-k",0,1,"6f1339224ac38869dafab6c3d56c683d",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,0,15,NA,NA,NA,0
"TasicBrain","Brain","Mouse","DeepSeekCell-FullRefined","full",15,1,"6f1339224ac38869dafab6c3d56c683d","2b5a758e0a2cd4d50a14f366c7d9a783",0,0,4380,7.01772904396057,0.00076076,1,NA,15,15,15,1,0,0,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,15,0,0,NA,1
"ZeiselBrain","Brain","Mouse","DeepSeekCell-RandomK","random-k",1,1,"8dea6f1f5117dba148495c12d7e45744","9f54cfa54623a2a0d481b58e4041daa2",0,0,546,1.97157192230225,9.24e-05,1,NA,16,1,1,0.0625,5,1,0.2,1,0.733333333333333,0.382970843102535,1,0.2,0,0,0,0,NA,0,16,0,0,NA,0.0625
"ZeiselBrain","Brain","Mouse","DeepSeekCell-ConfidenceK","confidence-k",1,1,"8dea6f1f5117dba148495c12d7e45744","44d86b0202d71fe36b4e2b7794cf66c8",0,0,509,1.5602810382843,8.358e-05,1,NA,16,1,1,0.0625,5,1,0.2,1,0.733333333333333,0.382970843102535,1,0.2,1,0,0,0,0,0,16,0,0,NA,0.0625
"ZeiselBrain","Brain","Mouse","DeepSeekCell-SelfRefined","evidence-k",1,1,"8dea6f1f5117dba148495c12d7e45744","3b89432c66f9a31cb0d855257c4f6833",0,0,554,2.09039902687073,9.17e-05,1,9.17e-05,16,1,1,0.0625,5,1,0.2,1,0.733333333333333,0.382970843102535,1,0.2,1,1,0,1,1,0,16,1,0,NA,0.0625
"ZeiselBrain","Brain","Mouse","DeepSeekCell-FullRefined","full",16,1,"8dea6f1f5117dba148495c12d7e45744","38e9e75e84a4129dd773345a39c57025",0,0,5019,8.96473693847656,0.00090636,1,NA,16,16,16,1,5,0.3125,1,0,NA,NA,0.3125,1,0,0,0,0,NA,0,16,0,0,NA,1
